,num_nodes,num_edges,density,avg_degree,avg_clustering,num_components,largest_component_size,largest_component_ratio,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,avg_eigenvector_centrality,internal_edges,external_edges,homophily
train_licit,3602,651,0.00010037929805728282,0.3614658523042754,0.0004345627633413005,2951,23,0.006385341476957246,1.010119814651979e-05,7.325295365026805e-07,0.0018281696178954316,1.2442208884803804e-06,651.0,6112,0.09625905663167234
train_illicit,33649,21207,3.746086613973941e-05,1.2604832238699515,0.008498070275079412,13863,569,0.016909863591785788,1.5080821307079248e-05,2.183857549829562e-06,0.00241270112403632,0.0003530219870818328,21207.0,60989,0.25800525573020583
val_licit,508,18,0.00013977542747984904,0.07086614173228346,0.0,490,3,0.005905511811023622,7.5835047237602635e-06,6.59433705715051e-07,0.0017963816532525767,3.598297732084541e-08,18.0,749,0.02346805736636245
val_illicit,4148,379,4.4065268685359795e-05,0.18273866923818707,0.008678015229953267,3771,52,0.01253616200578592,1.5573282103833025e-05,2.4048852061708677e-06,0.002429308939473887,0.000567639410226949,379.0,12405,0.02964643304130163
test_licit,435,8,8.475025160230945e-05,0.0367816091954023,0.0001248961483696522,427,2,0.004597701149425287,1.0649930030862233e-05,2.94360509050376e-07,0.0017748324008827498,3.5890705118192506e-06,8.0,928,0.008547008547008548
test_illicit,4222,394,4.421734237836107e-05,0.18664140217906205,0.006547593062515567,3830,27,0.006395073424917101,1.5682746436575933e-05,2.3418347270457754e-06,0.0024179482166686987,0.00039690118822540554,394.0,12704,0.03008092838601313
unknown,157205,131778,1.066456045226017e-05,1.6765115613371075,0.015604442002611853,33463,4162,0.02647498489233803,1.028643635607393e-05,1.2565493689438178e-06,0.002057453050887285,8.904363053273046e-06,131778.0,65953,0.6664508852936565
pred_unknown_licit,5862,1459,8.493129616974989e-05,0.4977823268509041,0.009479131127032867,4405,79,0.013476629136813374,7.529585797033229e-06,1.101584803944376e-06,0.002349175348565871,1.1230571150168368e-06,1459.0,6076,0.1936297279362973
pred_unknown_illicit,151343,127114,1.1099452921129712e-05,1.679813403989613,0.01584169494693464,32120,4162,0.027500446006752874,1.0393218024053925e-05,1.2625516437766591e-06,0.002046153710257114,9.205757999917808e-06,127114.0,66287,0.6572561672380184
