,num_nodes,num_edges,density,avg_degree,avg_clustering,num_components,largest_component_size,largest_component_ratio,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,avg_eigenvector_centrality,internal_edges,external_edges,homophily
train_licit,3602,651,0.00010037929805728282,0.3614658523042754,0.0004345627633413005,2951,23,0.006385341476957246,1.010119814651979e-05,7.325295365026805e-07,0.0018281696178954316,1.2442208884803804e-06,651.0,6112,0.09625905663167234
train_illicit,33649,21207,3.746086613973941e-05,1.2604832238699515,0.008498070275079412,13863,569,0.016909863591785788,1.5080821307079248e-05,2.183857549829562e-06,0.00241270112403632,0.0003530219870818328,21207.0,60989,0.25800525573020583
val_licit,508,18,0.00013977542747984904,0.07086614173228346,0.0,490,3,0.005905511811023622,7.5835047237602635e-06,6.59433705715051e-07,0.0017963816532525767,3.598297732084541e-08,18.0,749,0.02346805736636245
val_illicit,4148,379,4.4065268685359795e-05,0.18273866923818707,0.008678015229953267,3771,52,0.01253616200578592,1.5573282103833025e-05,2.4048852061708677e-06,0.002429308939473887,0.000567639410226949,379.0,12405,0.02964643304130163
test_licit,435,8,8.475025160230945e-05,0.0367816091954023,0.0001248961483696522,427,2,0.004597701149425287,1.0649930030862233e-05,2.94360509050376e-07,0.0017748324008827498,3.5890705118192506e-06,8.0,928,0.008547008547008548
test_illicit,4222,394,4.421734237836107e-05,0.18664140217906205,0.006547593062515567,3830,27,0.006395073424917101,1.5682746436575933e-05,2.3418347270457754e-06,0.0024179482166686987,0.00039690118822540554,394.0,12704,0.03008092838601313
unknown,157205,131778,1.066456045226017e-05,1.6765115613371075,0.015604442002611853,33463,4162,0.02647498489233803,1.028643635607393e-05,1.2565493689438178e-06,0.002057453050887285,8.904363053273046e-06,131778.0,65953,0.6664508852936565
pred_unknown_licit,9835,1599,3.3065408402770176e-05,0.3251652262328419,0.005362382819916713,8236,57,0.005795627859684799,8.896447861785737e-06,6.364394745803192e-07,0.0019034216732767395,2.9429898791859215e-06,1599.0,14631,0.09852125693160814
pred_unknown_illicit,147370,120051,1.1055555206455863e-05,1.629246115220194,0.016287964103865887,34777,3854,0.026151862658614373,1.037919971931831e-05,1.2979335096173943e-06,0.0020677326098124367,9.302205932876407e-06,120051.0,71578,0.6264761596626816
